ID,category,Case_w,Case_wo,NoCNV_Control_w,NoCNV_Control_wo,LargeRare_Control_w,LargeRare_Control_wo,NEJM_Control_w,NEJM_Control_wo
35070,node,0,217,4,87791,0,4106,0,2210
35080,node,1,216,65,87730,4,4102,1,2209
35100,node,0,217,23,87772,2,4104,0,2210
35110,node,0,217,12,87783,3,4103,0,2210
35130,node,1,216,27,87768,1,4105,1,2209
35140,node,0,217,1,87794,0,4106,0,2210
35150,node,0,217,17,87778,1,4105,0,2210
35160,node,0,217,10,87785,0,4106,0,2210
35170,node,0,217,4,87791,0,4106,0,2210
35180,node,0,217,2,87793,0,4106,0,2210
35190,node,0,217,18,87777,1,4105,0,2210
35210,node,0,217,9,87786,0,4106,1,2209
35220,node,0,217,20,87775,2,4104,0,2210
35230,node,0,217,14,87781,0,4106,0,2210
35240,node,0,217,5,87790,0,4106,0,2210
35250,node,0,217,17,87778,0,4106,1,2209
35260,node,0,217,117,87678,7,4099,2,2208
35270,node,0,217,4,87791,0,4106,0,2210
35290,node,0,217,43,87752,1,4105,0,2210
35300,node,0,217,41,87754,2,4104,2,2208
35310,node,0,217,31,87764,3,4103,1,2209
35320,node,0,217,181,87614,8,4098,4,2206
35330,node,0,217,54,87741,4,4102,2,2208
35340,node,0,217,17,87778,1,4105,2,2208
35350,node,0,217,52,87743,4,4102,0,2210
35360,node,0,217,1,87794,0,4106,0,2210
35370,node,0,217,74,87721,3,4103,1,2209
35380,node,0,217,64,87731,2,4104,1,2209
35410,node,0,217,4,87791,1,4105,1,2209
35420,node,0,217,13,87782,2,4104,0,2210
35430,node,0,217,1,87794,0,4106,0,2210
35450,node,0,217,16,87779,1,4105,1,2209
35460,node,0,217,15,87780,1,4105,1,2209
35470,node,1,216,87,87708,4,4102,4,2206
35480,node,0,217,25,87770,2,4104,0,2210
35490,node,0,217,54,87741,2,4104,0,2210
35510,node,1,216,44,87751,1,4105,1,2209
35520,node,0,217,25,87770,1,4105,0,2210
35530,node,0,217,7,87788,2,4104,0,2210
35540,node,0,217,2,87793,0,4106,0,2210
35560,node,0,217,9,87786,0,4106,0,2210
35570,node,0,217,24,87771,1,4105,0,2210
35590,node,0,217,28,87767,1,4105,1,2209
35610,node,0,217,9,87786,0,4106,0,2210
35630,node,0,217,33,87762,3,4103,0,2210
35640,node,0,217,1,87794,0,4106,0,2210
35650,node,0,217,301,87494,12,4094,9,2201
35660,node,0,217,1,87794,0,4106,0,2210
35680,node,1,216,56,87739,3,4103,2,2208
35690,node,0,217,507,87288,33,4073,17,2193
35710,node,0,217,180,87615,4,4102,3,2207
35720,node,0,217,2,87793,0,4106,0,2210
35730,node,0,217,23,87772,0,4106,0,2210
35740,node,0,217,5,87790,1,4105,0,2210
35760,node,1,216,191,87604,16,4090,7,2203
35770,node,0,217,126,87669,3,4103,4,2206
35780,node,0,217,10,87785,1,4105,0,2210
35790,node,0,217,216,87579,9,4097,7,2203
35800,node,0,217,430,87365,22,4084,10,2200
35810,node,0,217,66,87729,6,4100,2,2208
35820,node,0,217,63,87732,6,4100,4,2206
35830,node,0,217,3,87792,0,4106,0,2210
35840,node,4,213,543,87252,34,4072,14,2196
35850,node,0,217,219,87576,15,4091,6,2204
35880,node,0,217,13,87782,1,4105,0,2210
35890,node,0,217,2,87793,0,4106,0,2210
35910,node,0,217,4,87791,0,4106,0,2210
35920,node,2,215,130,87665,6,4100,5,2205
35930,node,1,216,241,87554,7,4099,9,2201
35940,node,0,217,24,87771,2,4104,0,2210
35950,node,0,217,19,87776,1,4105,0,2210
35960,node,1,216,325,87470,10,4096,11,2199
35970,node,0,217,6,87789,0,4106,0,2210
35980,node,0,217,20,87775,1,4105,2,2208
35990,node,0,217,9,87786,0,4106,1,2209
36010,node,0,217,38,87757,1,4105,1,2209
36020,node,0,217,3,87792,1,4105,0,2210
36030,node,0,217,37,87758,4,4102,1,2209
36040,node,0,217,1,87794,0,4106,0,2210
36050,node,0,217,2,87793,0,4106,0,2210
36060,node,0,217,1,87794,0,4106,0,2210
36070,node,0,217,13,87782,0,4106,0,2210
36080,node,0,217,2,87793,1,4105,0,2210
36120,node,0,217,30,87765,2,4104,1,2209
36130,node,0,217,0,87795,1,4105,0,2210
36150,node,0,217,2,87793,0,4106,1,2209
36160,node,0,217,2,87793,0,4106,0,2210
36180,node,0,217,4,87791,0,4106,0,2210
36190,node,0,217,8,87787,0,4106,0,2210
36200,node,0,217,3,87792,0,4106,0,2210
36210,node,0,217,5,87790,0,4106,0,2210
36220,node,0,217,50,87745,5,4101,1,2209
36240,node,1,216,92,87703,3,4103,4,2206
36250,node,0,217,18,87777,1,4105,0,2210
36260,node,0,217,7,87788,1,4105,1,2209
36270,node,0,217,49,87746,2,4104,1,2209
36280,node,0,217,55,87740,2,4104,4,2206
36290,node,0,217,18,87777,1,4105,0,2210
36300,node,0,217,24,87771,1,4105,0,2210
36330,node,0,217,6,87789,0,4106,1,2209
36340,node,0,217,1,87794,0,4106,0,2210
36350,node,0,217,2,87793,0,4106,0,2210
36360,node,0,217,5,87790,0,4106,0,2210
36380,node,0,217,8,87787,1,4105,1,2209
36390,node,0,217,13,87782,0,4106,0,2210
36400,node,0,217,12,87783,0,4106,0,2210
36430,node,0,217,34,87761,5,4101,1,2209
36440,node,0,217,5,87790,1,4105,0,2210
36450,node,0,217,9,87786,2,4104,0,2210
36460,node,0,217,3,87792,2,4104,0,2210
36470,node,0,217,3,87792,0,4106,0,2210
36480,node,0,217,8,87787,0,4106,0,2210
36490,node,0,217,14,87781,2,4104,0,2210
36520,node,0,217,1,87794,0,4106,0,2210
36530,node,0,217,6,87789,0,4106,0,2210
36540,node,0,217,27,87768,2,4104,2,2208
36560,node,0,217,10,87785,0,4106,0,2210
36570,node,0,217,10,87785,1,4105,0,2210
36580,node,0,217,17,87778,1,4105,1,2209
36590,node,0,217,5,87790,1,4105,0,2210
36600,node,0,217,41,87754,5,4101,3,2207
36610,node,0,217,80,87715,2,4104,2,2208
36620,node,0,217,38,87757,2,4104,0,2210
36630,node,0,217,2,87793,0,4106,0,2210
36640,node,0,217,42,87753,2,4104,1,2209
